item,event_name,distribution_method,start_date,end_date,region,notes
custap-berry,Pokémon Global Link gift rare Berries,,07/01/2019,02/09/2019,All,
dark-gem,Se Jun's Liepard,,31/08/2013,01/09/2013,Korea,Distributed as a held item.
dark-tera-shard,PJCS 2025 Participation Tera Shards,,21/06/2025,30/09/2025,All,
dark-tera-shard,Pokémon Stamp Rally 2024 Tera Shards,,12/07/2024,31/10/2024,All,
dawn-stone,November 2024 Nintendo newsletter items,,18/11/2024,31/12/2025,All,
dawn-stone,Pokéwalker Spot items,,07/01/2011,31/01/2011,Korea,PokéWalker
destiny-knot,2015 Tanabata Jirachi,,18/07/2015,16/08/2015,Japan,Held by distributed Pokémon
destiny-knot,Poké Times Valentines Day Items,,14/02/2023,14/03/2023,All,
destiny-knot,Serena's Fennekin,,26/02/2015,31/03/2015,Japan,Held by distributed Pokémon
diancite,Fifth Mega Stone Gift,,10/08/2017,31/10/2017,All,
diancite,Side mission EX1: Shine Bright like a Gemstone,,06/11/2025,,All,
discount-coupon,Pokémon Global Link,Wi-Fi,,,,
dive-ball,New Year's 2020 Dive Balls,,31/12/2019,30/01/2020,All,
dive-ball,Variety Ball Sets,,18/11/2022,07/03/2023,Japan,
draco-plate,Dahara City Arceus,,07/03/2015,31/08/2015,Japan,Held by event Arceus in X/Y and Omega Ruby/Alpha Sapphire.
draco-plate,Dahara City Arceus,,20/11/2015,17/12/2015,Taiwan,Held by event Arceus in X/Y and Omega Ruby/Alpha Sapphire.
dragon-fang,Dragon Week Pokémon,,29/09/2003,03/10/2003,United States,"Held by Flygon, Altaria, Salamence"
dragon-fang,Strongest Salamence,,15/02/2008,14/03/2008,Japan,
dragon-gem,Movie 2011 Ash's Pokémon,,09/07/2011,30/09/2011,Japan,
dragon-gem,Movie 2011 Ash's Pokémon,,22/12/2011,29/02/2012,Korea,
dragon-gem,Spring 2012 Reshiram,,,,,Various dates
dragon-gem,Spring 2012 Zekrom,,,,,Various dates
dragon-scale,Dragon Week Seadra,,29/09/2003,03/10/2003,United States,Held by distributed Seadra
dragon-scale,EX-Dragon TCG Prerelease Promotion Seadra,,22/11/2003,28/11/2003,United States,Held by distributed Seadra
dragon-scale,Nintendo of Korea Rayquaza,,31/05/2008,17/07/2008,Korea,Held item
